sample,day_count,expiry_assumption,expiry_adjustment_days,maturity_lower_days,maturity_upper_days,volume_threshold,observations,currencies,first_date,last_date,corr,rmse,mean_gap,median_gap,std_gap,abs_median_gap
advanced,365,last_trade_monday,-2,75,95,2500,258,7,2011-06-30,2025-06-30,0.8181766904,1.228761031,0.5597962156,0.2906961254,1.09596416,0.2906961254
advanced,365,third_wednesday,0,50,95,10000,375,7,2010-03-31,2025-06-30,0.7846251246,1.23257996,0.3522570227,0.2153603085,1.1827505,0.2153603085
advanced,360,last_trade_friday,-5,70,95,1000,342,7,2010-03-31,2025-06-30,0.8090670474,1.233890971,0.5331298124,0.3362424495,1.11440154,0.3362424495
advanced,360,last_trade_friday,-5,70,90,1000,342,7,2010-03-31,2025-06-30,0.8090670474,1.233890971,0.5331298124,0.3362424495,1.11440154,0.3362424495
advanced,360,last_trade_monday,-2,75,95,20000,215,7,2011-06-30,2025-06-30,0.7928486946,1.235785582,0.5381106891,0.2370550783,1.115072232,0.2370550783
advanced,365,last_trade_monday,-2,75,95,20000,215,7,2011-06-30,2025-06-30,0.7928486946,1.237848245,0.537056746,0.2398592158,1.117877747,0.2398592158
advanced,365,last_trade_friday,-5,70,95,1000,342,7,2010-03-31,2025-06-30,0.8090670474,1.238400591,0.5354104465,0.3314612308,1.118315021,0.3314612308
advanced,365,last_trade_friday,-5,70,90,1000,342,7,2010-03-31,2025-06-30,0.8090670474,1.238400591,0.5354104465,0.3314612308,1.118315021,0.3314612308
advanced,360,third_wednesday,0,75,95,0,406,7,2010-03-31,2025-06-30,0.7838288008,1.245167757,0.5662987092,0.3458799209,1.110308485,0.3458799209
advanced,365,third_wednesday,0,75,95,0,406,7,2010-03-31,2025-06-30,0.7838288008,1.247305887,0.5680621617,0.3388554754,1.111810232,0.3388554754
advanced,360,third_wednesday,0,60,80,50000,94,5,2010-03-31,2022-12-31,0.6922592425,1.247822153,-0.1299808743,0.01493771583,1.247688267,0.01493771583
advanced,360,third_wednesday,0,55,95,10000,328,7,2010-03-31,2025-06-30,0.77494579,1.25040143,0.3659684628,0.2138232033,1.197473422,0.2138232033
advanced,360,third_wednesday,0,60,95,10000,328,7,2010-03-31,2025-06-30,0.77494579,1.25040143,0.3659684628,0.2138232033,1.197473422,0.2138232033
advanced,360,third_wednesday,0,65,95,10000,328,7,2010-03-31,2025-06-30,0.77494579,1.25040143,0.3659684628,0.2138232033,1.197473422,0.2138232033
advanced,360,third_wednesday,0,70,95,10000,328,7,2010-03-31,2025-06-30,0.77494579,1.25040143,0.3659684628,0.2138232033,1.197473422,0.2138232033
advanced,360,third_wednesday,0,60,90,10000,328,7,2010-03-31,2025-06-30,0.77494579,1.25040143,0.3659684628,0.2138232033,1.197473422,0.2138232033
advanced,360,third_wednesday,0,60,85,10000,328,7,2010-03-31,2025-06-30,0.77494579,1.25040143,0.3659684628,0.2138232033,1.197473422,0.2138232033
advanced,360,third_wednesday,0,70,90,10000,328,7,2010-03-31,2025-06-30,0.77494579,1.25040143,0.3659684628,0.2138232033,1.197473422,0.2138232033
advanced,360,last_trade_monday,-2,50,95,10000,347,7,2010-03-31,2025-06-30,0.776766951,1.251750807,0.3493549332,0.210253291,1.203747077,0.210253291
advanced,365,third_wednesday,0,55,95,10000,328,7,2010-03-31,2025-06-30,0.77494579,1.254756364,0.3662505196,0.2250096464,1.201947835,0.2250096464
advanced,365,third_wednesday,0,60,95,10000,328,7,2010-03-31,2025-06-30,0.77494579,1.254756364,0.3662505196,0.2250096464,1.201947835,0.2250096464
advanced,365,third_wednesday,0,65,95,10000,328,7,2010-03-31,2025-06-30,0.77494579,1.254756364,0.3662505196,0.2250096464,1.201947835,0.2250096464
advanced,365,third_wednesday,0,70,95,10000,328,7,2010-03-31,2025-06-30,0.77494579,1.254756364,0.3662505196,0.2250096464,1.201947835,0.2250096464
advanced,365,third_wednesday,0,60,90,10000,328,7,2010-03-31,2025-06-30,0.77494579,1.254756364,0.3662505196,0.2250096464,1.201947835,0.2250096464
advanced,365,third_wednesday,0,60,85,10000,328,7,2010-03-31,2025-06-30,0.77494579,1.254756364,0.3662505196,0.2250096464,1.201947835,0.2250096464
advanced,365,third_wednesday,0,70,90,10000,328,7,2010-03-31,2025-06-30,0.77494579,1.254756364,0.3662505196,0.2250096464,1.201947835,0.2250096464
advanced,360,third_wednesday,0,50,95,20000,333,7,2010-03-31,2025-06-30,0.7530399766,1.256792272,0.3621083186,0.209479015,1.205307863,0.209479015
advanced,360,third_wednesday,0,75,95,100,398,7,2010-03-31,2025-06-30,0.7851039706,1.257131902,0.5776763412,0.3565136741,1.117949414,0.3565136741
advanced,365,last_trade_monday,-2,50,95,10000,347,7,2010-03-31,2025-06-30,0.776766951,1.257224175,0.3494747155,0.2045104709,1.209419411,0.2045104709
advanced,360,last_trade_friday,-5,45,95,10000,375,7,2010-03-31,2025-06-30,0.7842711126,1.258430967,0.3531118903,0.2147469261,1.209488096,0.2147469261
advanced,360,last_trade_friday,-5,70,95,0,406,7,2010-03-31,2025-06-30,0.7838560251,1.258765559,0.5751917038,0.3568738582,1.121044449,0.3568738582
advanced,360,last_trade_friday,-5,70,90,0,406,7,2010-03-31,2025-06-30,0.7838560251,1.258765559,0.5751917038,0.3568738582,1.121044449,0.3568738582
advanced,365,third_wednesday,0,60,80,50000,94,5,2010-03-31,2022-12-31,0.6922592425,1.259138787,-0.1262687374,0.02756728954,1.259508988,0.02756728954
advanced,360,last_trade_monday,-2,55,95,10000,328,7,2010-03-31,2025-06-30,0.7748260702,1.259255363,0.3664528295,0.235837337,1.206596468,0.235837337
advanced,360,last_trade_monday,-2,60,95,10000,328,7,2010-03-31,2025-06-30,0.7748260702,1.259255363,0.3664528295,0.235837337,1.206596468,0.235837337
advanced,360,last_trade_monday,-2,65,95,10000,328,7,2010-03-31,2025-06-30,0.7748260702,1.259255363,0.3664528295,0.235837337,1.206596468,0.235837337
advanced,360,last_trade_monday,-2,70,95,10000,328,7,2010-03-31,2025-06-30,0.7748260702,1.259255363,0.3664528295,0.235837337,1.206596468,0.235837337
advanced,360,last_trade_monday,-2,60,90,10000,328,7,2010-03-31,2025-06-30,0.7748260702,1.259255363,0.3664528295,0.235837337,1.206596468,0.235837337
advanced,360,last_trade_monday,-2,60,85,10000,328,7,2010-03-31,2025-06-30,0.7748260702,1.259255363,0.3664528295,0.235837337,1.206596468,0.235837337
advanced,360,last_trade_monday,-2,60,80,10000,328,7,2010-03-31,2025-06-30,0.7748260702,1.259255363,0.3664528295,0.235837337,1.206596468,0.235837337
advanced,360,last_trade_monday,-2,70,90,10000,328,7,2010-03-31,2025-06-30,0.7748260702,1.259255363,0.3664528295,0.235837337,1.206596468,0.235837337
advanced,365,third_wednesday,0,75,95,100,398,7,2010-03-31,2025-06-30,0.7851039706,1.259282315,0.5795252473,0.3523927016,1.11941543,0.3523927016
advanced,365,third_wednesday,0,50,95,20000,333,7,2010-03-31,2025-06-30,0.7530399766,1.261656518,0.3613489336,0.2153603085,1.21062188,0.2153603085
advanced,365,last_trade_friday,-5,70,95,0,406,7,2010-03-31,2025-06-30,0.7838560251,1.262763389,0.5770786701,0.3631910084,1.124573931,0.3631910084
advanced,365,last_trade_friday,-5,70,90,0,406,7,2010-03-31,2025-06-30,0.7838560251,1.262763389,0.5770786701,0.3631910084,1.124573931,0.3631910084
advanced,365,last_trade_monday,-2,55,95,10000,328,7,2010-03-31,2025-06-30,0.7748260702,1.264518985,0.3667416136,0.2367429146,1.212017934,0.2367429146
advanced,365,last_trade_monday,-2,60,95,10000,328,7,2010-03-31,2025-06-30,0.7748260702,1.264518985,0.3667416136,0.2367429146,1.212017934,0.2367429146
advanced,365,last_trade_monday,-2,65,95,10000,328,7,2010-03-31,2025-06-30,0.7748260702,1.264518985,0.3667416136,0.2367429146,1.212017934,0.2367429146
advanced,365,last_trade_monday,-2,70,95,10000,328,7,2010-03-31,2025-06-30,0.7748260702,1.264518985,0.3667416136,0.2367429146,1.212017934,0.2367429146
