date,spot_local_per_usd,futures_local_per_usd,futures_log_basis,futures_pct_basis,ccy,yahoo_symbol,us_rate,foreign_rate,assumed_expiry_date,assumed_tau_years,rate_differential_us_minus_foreign,region_group,futures_implied_basis_next_imm,futures_implied_basis_fixed_3m,futures_implied_basis_next_imm_bps,futures_implied_basis_fixed_3m_bps,basis_maturity_assumption_spread_bps,futures_premium_next_imm_pct_ann,futures_premium_fixed_3m_pct_ann,dks_forward_premium_3m_pct_ann,premium_gap_next_imm_pct_ann,premium_gap_fixed_3m_pct_ann
2010-03-31,12.3005,12.35712038,0.004592533919,0.4603095766,MXN,6M=F,0.0015,0.0503,2010-06-16,0.2109589041,-0.0488,Emerging markets,0.01488732844,0.01679253392,148.8732844,167.9253392,-19.05205479,2.176980364,1.837013568,4.0874081,-1.910427736,-2.250394532
2010-03-31,1.408847563,1.415428179,0.004660046862,0.4670921766,NZD,6N=F,0.0015,0.0267,2010-06-16,0.2109589041,-0.0252,Advanced economies,0.009976211245,0.01096004686,99.76211245,109.6004686,-9.838356164,2.208983253,1.864018745,2.4687767,-0.2597934471,-0.6047579552
2010-03-31,7.33,7.30353464,-0.003617087703,-0.3610553921,ZAR,6Z=F,0.0015,0.06952307692,2010-06-16,0.2109589041,-0.06802307692,Emerging markets,0.01073298606,0.01338868153,107.3298606,133.8868153,-26.55695469,-1.714593522,-1.446835081,6.9177246,-8.632318122,-8.364559681
2010-04-30,1.074575543,1.086366128,0.01091255998,1.097231914,AUD,6A=F,0.0016,0.04545,2010-06-16,0.1287671233,-0.04385,Advanced economies,0.01655899833,0.02187505998,165.5899833,218.7505998,-53.16061644,8.474647643,4.365023992,4.0889254,4.385722243,0.276098592
2010-04-30,1.727,1.741401881,0.008304668142,0.8339247555,BRL,6L=F,0.0016,0.0938,2010-06-16,0.1287671233,-0.0922,Emerging markets,0.02017699691,0.03135466814,201.7699691,313.5466814,-111.7767123,6.449369939,3.321867257,7.8802466,-1.430876661,-4.558379343
2010-04-30,1.0112,1.016880225,0.005601592589,0.5617310844,CAD,6C=F,0.0016,0.003375,2010-06-16,0.1287671233,-0.001775,Advanced economies,0.005830154233,0.006045342589,58.30154233,60.45342589,-2.151883562,4.350172968,2.240637036,0.05328412,4.296888848,2.187352916
2010-04-30,1.0767,1.076426242,-0.000254289229,-0.02542569002,CHF,6S=F,0.0016,0.000879435,2010-06-16,0.1287671233,0.000720565,Advanced economies,-0.0003470743112,-0.000434430479,-3.470743112,-4.34430479,0.8735616781,-0.1974799331,-0.1017156916,-0.31150615,0.1140262169,0.2097904584
2010-04-30,0.7517666516,0.7514276808,-0.0004510007177,-0.04508990322,EUR,6E=F,0.0016,0.006447,2010-06-16,0.1287671233,-0.004847,Advanced economies,0.0001731335288,0.0007607492823,1.731335288,7.607492823,-5.876157534,-0.3502452382,-0.1804002871,-0.015706792,-0.3345384462,-0.1646934951
2010-04-30,0.6532532009,0.6547502127,0.00228900385,0.229162562,GBP,6B=F,0.0016,0.0065592,2010-06-16,0.1287671233,-0.0049592,Advanced economies,0.002927585768,0.00352880385,29.27585768,35.2880385,-6.012180822,1.777630649,0.91560154,0.21535237,1.562278279,0.70024917
2010-04-30,94.24,93.88789922,-0.003743210743,-0.3736213663,JPY,6J=F,0.0016,0.004,2010-06-16,0.1287671233,-0.0024,Advanced economies,-0.003434169647,-0.003143210743,-34.34169647,-31.43210743,-2.909589041,-2.906961534,-1.497284297,-0.2201108,-2.686850734,-1.277173497
2010-04-30,12.2281,12.30769276,0.006487912505,0.6509004599,MXN,6M=F,0.0016,0.0503,2010-06-16,0.1287671233,-0.0487,Emerging markets,0.01275887141,0.0186629125,127.5887141,186.629125,-59.04041096,5.038485243,2.595165002,3.8525653,1.185919943,-1.257400298
